,Data,Open,High,Low,Close,Volume,Dividends,Stock Splits,ID,Periodo,Adj Close
0,2022-07-18 09:30:00-04:00,11555.587890625,11628.958984375,11542.31640625,11580.90234375,1120960430.0,0.0,0.0,1.0,Semanal,
1,2022-07-18 11:00:00-04:00,11581.11328125,11620.2431640625,11567.451171875,11606.96484375,802902000.0,0.0,0.0,1.0,Semanal,
2,2022-07-18 12:30:00-04:00,11607.763671875,11612.208984375,11431.2958984375,11444.8916015625,752675000.0,0.0,0.0,1.0,Semanal,
3,2022-07-18 14:00:00-04:00,11442.75390625,11465.529296875,11377.7158203125,11379.5703125,688714000.0,0.0,0.0,1.0,Semanal,
4,2022-07-18 15:30:00-04:00,11377.7158203125,11377.7158203125,11324.3095703125,11357.9189453125,496298000.0,0.0,0.0,1.0,Semanal,
5,2022-07-19 09:30:00-04:00,11510.6083984375,11589.15625,11449.2021484375,11586.4619140625,1249734818.0,0.0,0.0,1.0,Semanal,
6,2022-07-19 11:00:00-04:00,11587.6533203125,11631.310546875,11585.02734375,11628.0810546875,806263000.0,0.0,0.0,1.0,Semanal,
7,2022-07-19 12:30:00-04:00,11628.8232421875,11690.1328125,11626.7451171875,11688.44921875,658042000.0,0.0,0.0,1.0,Semanal,
8,2022-07-19 14:00:00-04:00,11689.0224609375,11711.1806640625,11665.80859375,11696.451171875,735700000.0,0.0,0.0,1.0,Semanal,
9,2022-07-19 15:30:00-04:00,11696.6591796875,11720.56640625,11682.0029296875,11709.30078125,527929000.0,0.0,0.0,1.0,Semanal,
10,2022-07-20 09:30:00-04:00,11711.2685546875,11914.1259765625,11703.669921875,11914.1259765625,1332803217.0,0.0,0.0,1.0,Semanal,
11,2022-07-20 11:00:00-04:00,11913.3994140625,11939.9580078125,11874.3388671875,11911.41796875,821477000.0,0.0,0.0,1.0,Semanal,
12,2022-07-20 12:30:00-04:00,11911.111328125,11932.826171875,11796.189453125,11813.6982421875,718268000.0,0.0,0.0,1.0,Semanal,
13,2022-07-20 14:00:00-04:00,11813.5244140625,11924.5341796875,11813.5244140625,11924.4501953125,757931000.0,0.0,0.0,1.0,Semanal,
14,2022-07-20 15:30:00-04:00,11925.4375,11927.0703125,11890.07421875,11895.3994140625,498013000.0,0.0,0.0,1.0,Semanal,
15,2022-07-21 09:30:00-04:00,11906.5751953125,11955.7060546875,11813.1455078125,11903.54296875,1194812415.0,0.0,0.0,1.0,Semanal,
16,2022-07-21 11:00:00-04:00,11900.4765625,12016.923828125,11896.1455078125,12014.8798828125,674727000.0,0.0,0.0,1.0,Semanal,
17,2022-07-21 12:30:00-04:00,12015.6259765625,12027.5263671875,11968.3515625,11988.83984375,549829000.0,0.0,0.0,1.0,Semanal,
18,2022-07-21 14:00:00-04:00,11991.08203125,12043.0283203125,11986.029296875,12023.3134765625,584704000.0,0.0,0.0,1.0,Semanal,
19,2022-07-21 15:30:00-04:00,12022.203125,12058.65234375,12017.1669921875,12058.65234375,446215000.0,0.0,0.0,1.0,Semanal,
20,2022-07-21 16:00:00-04:00,12059.609375,12059.609375,12059.609375,12059.609375,0.0,0.0,0.0,1.0,Semanal,
21,2022-06-21 00:00:00,10974.0498046875,11164.990234375,10974.0498046875,11069.2998046875,5201450000.0,0.0,0.0,1.0,Mensal,
22,2022-06-22 00:00:00,10941.9501953125,11216.76953125,10938.0595703125,11053.080078125,5215100000.0,0.0,0.0,1.0,Mensal,
23,2022-06-23 00:00:00,11137.6796875,11260.26953125,11046.2802734375,11232.1904296875,5238210000.0,0.0,0.0,1.0,Mensal,
24,2022-06-24 00:00:00,11351.3095703125,11613.23046875,11337.7802734375,11607.6201171875,9438810000.0,0.0,0.0,1.0,Mensal,
25,2022-06-27 00:00:00,11661.01953125,11677.490234375,11487.0703125,11524.5498046875,5017930000.0,0.0,0.0,1.0,Mensal,
26,2022-06-28 00:00:00,11542.240234375,11635.849609375,11177.6796875,11181.5400390625,5397910000.0,0.0,0.0,1.0,Mensal,
27,2022-06-29 00:00:00,11160.2197265625,11226.330078125,11072.1904296875,11177.8896484375,5609230000.0,0.0,0.0,1.0,Mensal,
28,2022-06-30 00:00:00,11048.25,11160.919921875,10850.009765625,11028.740234375,5620800000.0,0.0,0.0,1.0,Mensal,
29,2022-07-01 00:00:00,11006.830078125,11132.5498046875,10922.7099609375,11127.849609375,4844560000.0,0.0,0.0,1.0,Mensal,
30,2022-07-05 00:00:00,10964.1796875,11323.8896484375,10911.4501953125,11322.240234375,5028520000.0,0.0,0.0,1.0,Mensal,
31,2022-07-06 00:00:00,11337.900390625,11443.150390625,11250.3203125,11361.849609375,4824620000.0,0.0,0.0,1.0,Mensal,
32,2022-07-07 00:00:00,11422.599609375,11644.4697265625,11412.8798828125,11621.349609375,4662320000.0,0.0,0.0,1.0,Mensal,
33,2022-07-08 00:00:00,11503.6103515625,11689.7001953125,11479.76953125,11635.3095703125,4495900000.0,0.0,0.0,1.0,Mensal,
